Date,MDA8
14-09-16,174.61
15-09-16,169.78
16-09-16,182.32
17-09-16,114.24
18-09-16,36.51
19-09-16,72.18
20-09-16,95.27
21-09-16,60.76
22-09-16,123.34
23-09-16,179.04
24-09-16,171.03
25-09-16,108.11
26-09-16,80.48
27-09-16,61.57
28-09-16,62.53
29-09-16,99.85
30-09-16,147.68
01-10-16,128.1
02-10-16,130.61
03-10-16,134.42
04-10-16,70.36
05-10-16,59.96
06-10-16,24.46
07-10-16,23.96
08-10-16,64.19
09-10-16,38.95
10-10-16,35.76
11-10-16,59.86
12-10-16,53.69
13-10-16,87.58
14-10-16,74.55
15-10-16,29.95
16-10-16,58.8
17-10-16,62.25
18-10-16,27.83
19-10-16,48.75
20-10-16,27.77
21-10-16,24.63
22-10-16,34
23-10-16,40.17
24-10-16,15.61
25-10-16,12.82
26-10-16,43.45
27-10-16,10.51
28-10-16,59.06
29-10-16,43.42
30-10-16,52.98
31-10-16,56.57
01-11-16,39.61
02-11-16,27.44
03-11-16,15.23
04-11-16,14.71
05-11-16,37.73
06-11-16,41.77
07-11-16,52.73
08-11-16,39.66
09-11-16,13.35
10-11-16,19.13
11-11-16,18.79
12-11-16,31.87
13-11-16,10.44
14-11-16,62.56
15-11-16,32.06
16-11-16,22.18
17-11-16,7.18
18-11-16,3.93
19-11-16,50.77
20-11-16,18.84
21-11-16,61.44
22-11-16,60.13
23-11-16,42.06
24-11-16,28.94
25-11-16,10.65
26-11-16,16.56
27-11-16,62.06
28-11-16,26.87
29-11-16,7.71
30-11-16,46.89
01-12-16,58.5
02-12-16,22.18
03-12-16,11.71
04-12-16,17.83
05-12-16,62.66
06-12-16,30.27
07-12-16,23.09
08-12-16,65.24
09-12-16,54.41
10-12-16,25.69
11-12-16,11.4
12-12-16,14.27
13-12-16,39.37
14-12-16,44.67
15-12-16,61.24
16-12-16,26.82
17-12-16,13.74
18-12-16,17.39
19-12-16,18.65
20-12-16,9.59
21-12-16,8.57
22-12-16,60.24
23-12-16,49.04
24-12-16,15.99
25-12-16,6.38
26-12-16,50.05
27-12-16,50.5
28-12-16,50.27
29-12-16,38.7
30-12-16,32.73
31-12-16,26.75
01-01-17,20.78
02-01-17,39.8
03-01-17,23.67
04-01-17,17.33
05-01-17,13.11
06-01-17,21.08
07-01-17,12.08
08-01-17,49.26
09-01-17,51.33
10-01-17,58.21
11-01-17,30.36
12-01-17,49.3
13-01-17,72.88
14-01-17,53.27
15-01-17,34.97
16-01-17,16.04
17-01-17,25.66
18-01-17,36.62
19-01-17,69.84
20-01-17,66.74
21-01-17,69.61
22-01-17,54.51
23-01-17,40.11
24-01-17,26.06
25-01-17,26.59
26-01-17,24.08
27-01-17,67.49
28-01-17,44.42
29-01-17,66.96
30-01-17,68.65
31-01-17,63.5
01-02-17,70.07
02-02-17,52.09
03-02-17,49.69
04-02-17,56.1
05-02-17,84.58
06-02-17,69.1
07-02-17,40.04
08-02-17,77.22
09-02-17,77.48
10-02-17,81.67
11-02-17,73.47
12-02-17,45.41
13-02-17,66.44
14-02-17,33.08
15-02-17,53.4
16-02-17,70.38
17-02-17,78.09
18-02-17,54.66
19-02-17,83.07
20-02-17,79.56
21-02-17,34.33
22-02-17,68.21
23-02-17,79.48
24-02-17,76.69
25-02-17,85.54
26-02-17,71.41
27-02-17,59.26
28-02-17,85.84
01-03-17,91.92
02-03-17,74.51
03-03-17,57.24
04-03-17,86.07
05-03-17,83.12
06-03-17,79.81
07-03-17,80.12
08-03-17,92.08
09-03-17,65.98
10-03-17,65.99
11-03-17,59.28
12-03-17,79.1
13-03-17,75.55
14-03-17,53.93
15-03-17,63.34
16-03-17,63.29
17-03-17,78.11
18-03-17,128.27
19-03-17,142.06
20-03-17,112.55
21-03-17,97.29
22-03-17,76.72
23-03-17,56.88
24-03-17,51.12
25-03-17,82.54
26-03-17,90.01
27-03-17,94.58
28-03-17,106.22
29-03-17,105.77
30-03-17,80.15
31-03-17,92.21
01-04-17,87.97
02-04-17,98.52
03-04-17,157.7
04-04-17,122.65
05-04-17,130.11
06-04-17,131.63
07-04-17,116.23
08-04-17,63.63
09-04-17,93.26
10-04-17,92.07
11-04-17,98.61
12-04-17,95.71
13-04-17,80.26
14-04-17,99.54
15-04-17,115.8
16-04-17,102.66
17-04-17,95.69
18-04-17,99.68
19-04-17,61.54
20-04-17,80.97
21-04-17,77.7
22-04-17,99.56
23-04-17,105.26
24-04-17,112.97
25-04-17,94.86
26-04-17,103.29
27-04-17,108.14
28-04-17,117.71
29-04-17,122.93
30-04-17,134.28
01-05-17,123.49
02-05-17,187.67
03-05-17,161.61
04-05-17,105.68
05-05-17,98.57
06-05-17,121.73
07-05-17,140.6
08-05-17,175.69
09-05-17,169.38
10-05-17,138.98
11-05-17,116.08
12-05-17,144.96
13-05-17,119.77
14-05-17,128.57
15-05-17,138.11
16-05-17,194.96
17-05-17,251.54
18-05-17,246.36
19-05-17,246.85
20-05-17,247.34
21-05-17,247.83
22-05-17,248.31
23-05-17,248.8
24-05-17,249.29
25-05-17,249.78
26-05-17,250.27
27-05-17,250.76
28-05-17,251.24
29-05-17,245.9
30-05-17,220.29
31-05-17,194.67
01-06-17,180.71
02-06-17,141.55
03-06-17,134.24
04-06-17,199.23
05-06-17,189.5
06-06-17,181.1
07-06-17,148.36
08-06-17,126.35
09-06-17,204.72
10-06-17,150.57
11-06-17,171.07
12-06-17,148.08
13-06-17,151.18
14-06-17,179.17
15-06-17,215.09
16-06-17,222.84
17-06-17,257.27
18-06-17,249.74
19-06-17,206.48
20-06-17,212.4
21-06-17,221.49
22-06-17,180.29
23-06-17,100.58
24-06-17,113.03
25-06-17,159.86
26-06-17,186.27
27-06-17,261.24
28-06-17,245.39
29-06-17,217.73
30-06-17,253.2
01-07-17,250.79
02-07-17,245.15
03-07-17,239.51
04-07-17,233.87
05-07-17,228.23
06-07-17,222.59
07-07-17,216.95
08-07-17,211.31
09-07-17,205.68
10-07-17,186.71
11-07-17,286.47
12-07-17,249.96
13-07-17,189.13
14-07-17,171.11
15-07-17,165.36
16-07-17,212.6
17-07-17,168.83
18-07-17,141.76
19-07-17,155.34
20-07-17,161.05
21-07-17,116.87
22-07-17,73.14
23-07-17,97.21
24-07-17,78.27
25-07-17,128.65
26-07-17,99.89
27-07-17,105.83
28-07-17,112.49
29-07-17,141.52
30-07-17,184.01
31-07-17,238.37
01-08-17,183.54
02-08-17,104.39
03-08-17,143.75
04-08-17,164.08
05-08-17,183.32
06-08-17,150.73
07-08-17,139.93
08-08-17,212.2
09-08-17,148.26
10-08-17,182.97
11-08-17,152.12
12-08-17,129.94
13-08-17,95.32
14-08-17,144.62
15-08-17,156.72
16-08-17,131.57
17-08-17,144.34
18-08-17,118.32
19-08-17,125.06
20-08-17,150.04
21-08-17,188.86
22-08-17,140.39
23-08-17,107.79
24-08-17,87.26
25-08-17,83.19
26-08-17,52.02
27-08-17,71.22
28-08-17,67.21
29-08-17,87.45
30-08-17,142.76
31-08-17,114.5
01-09-17,133.33
02-09-17,133.67
03-09-17,154.89
04-09-17,150.52
05-09-17,111.05
06-09-17,116.17
07-09-17,198.82
08-09-17,241.45
09-09-17,187.18
10-09-17,126.77
11-09-17,85.99
12-09-17,113.89
13-09-17,183.79
14-09-17,156.31
15-09-17,116.78
16-09-17,144.68
17-09-17,96.65
18-09-17,137.39
19-09-17,94.95
20-09-17,92.38
21-09-17,145.1
22-09-17,97.84
23-09-17,105.19
24-09-17,145.19
25-09-17,136.59
26-09-17,95.06
27-09-17,32.66
28-09-17,68.8
29-09-17,74.8
30-09-17,115.13
01-10-17,83.57
02-10-17,37.24
03-10-17,52.33
04-10-17,73.2
05-10-17,88.38
06-10-17,91.22
07-10-17,50.22
08-10-17,11.33
09-10-17,35.9
10-10-17,40.34
11-10-17,46.39
12-10-17,40.53
13-10-17,57.32
14-10-17,30.8
15-10-17,47.01
16-10-17,57.24
17-10-17,50.21
18-10-17,32.74
19-10-17,60.66
20-10-17,60.8
21-10-17,67.76
22-10-17,37.33
23-10-17,53.13
24-10-17,64.81
25-10-17,34.95
26-10-17,26.3
27-10-17,48.07
28-10-17,55.83
29-10-17,58.38
30-10-17,44.79
31-10-17,15.72
01-11-17,34.31
02-11-17,58.78
03-11-17,62.18
04-11-17,45.71
05-11-17,38.96
06-11-17,50.2
07-11-17,67.48
08-11-17,39.53
09-11-17,21.44
10-11-17,58.07
11-11-17,42.64
12-11-17,16.31
13-11-17,63.63
14-11-17,60.58
15-11-17,56.67
16-11-17,24.52
17-11-17,62.93
18-11-17,57.35
19-11-17,24.52
20-11-17,31.09
21-11-17,39.45
22-11-17,60.41
23-11-17,53.55
24-11-17,49.63
25-11-17,29.52
26-11-17,55.84
27-11-17,18.38
28-11-17,62.08
29-11-17,58.08
30-11-17,53.38
01-12-17,29.04
02-12-17,13.58
03-12-17,58.89
04-12-17,58.4
05-12-17,45.38
06-12-17,52.67
07-12-17,50.62
08-12-17,35
09-12-17,26.79
10-12-17,66.91
11-12-17,60.76
12-12-17,44.32
13-12-17,23.85
14-12-17,13.43
15-12-17,57.53
16-12-17,63.41
17-12-17,44.6
18-12-17,59.04
19-12-17,43.86
20-12-17,64.94
21-12-17,21.97
22-12-17,58.72
23-12-17,24.22
24-12-17,72.28
25-12-17,55.97
26-12-17,44.06
27-12-17,16.96
28-12-17,17.49
29-12-17,8.71
30-12-17,44.98
31-12-17,35.3
01-01-18,34.19
02-01-18,45.4
03-01-18,53.05
04-01-18,40.26
05-01-18,38.5
06-01-18,49.56
07-01-18,48.76
08-01-18,66.13
09-01-18,67.54
10-01-18,68.12
11-01-18,61.24
12-01-18,28.19
13-01-18,18.74
14-01-18,39.8
15-01-18,42.15
16-01-18,58.17
17-01-18,61.93
18-01-18,48.2
19-01-18,39.82
20-01-18,28.87
21-01-18,31.01
22-01-18,60.12
23-01-18,64.07
24-01-18,65.7
25-01-18,64.37
26-01-18,42.22
27-01-18,19.82
28-01-18,70.32
29-01-18,66.93
30-01-18,73.28
31-01-18,69.7
01-02-18,64.46
02-02-18,71
03-02-18,66.72
04-02-18,60.37
05-02-18,70.76
06-02-18,53.21
07-02-18,82.5
08-02-18,68.43
09-02-18,78.54
10-02-18,78.43
11-02-18,78.74
12-02-18,77.94
13-02-18,60.28
14-02-18,76.39
15-02-18,85.33
16-02-18,90.75
17-02-18,65.65
18-02-18,90
19-02-18,76.02
20-02-18,90.56
21-02-18,87.16
22-02-18,80.46
23-02-18,77
24-02-18,77.63
25-02-18,71.98
26-02-18,92.51
27-02-18,66.95
28-02-18,78.81
01-03-18,85.86
02-03-18,72.75
03-03-18,52.6
04-03-18,48.44
05-03-18,69.25
06-03-18,67.25
07-03-18,55.73
08-03-18,73.77
09-03-18,77.82
10-03-18,105.68
11-03-18,78.43
12-03-18,94.72
13-03-18,155.82
14-03-18,104.87
15-03-18,90.14
16-03-18,92.4
17-03-18,73.52
18-03-18,83.8
19-03-18,92.91
20-03-18,81.79
21-03-18,73.47
22-03-18,92.23
23-03-18,69
24-03-18,116.87
25-03-18,126.26
26-03-18,139.53
27-03-18,121.35
28-03-18,73.35
29-03-18,87.49
30-03-18,102.21
31-03-18,122.84
01-04-18,200.05
02-04-18,156.93
03-04-18,125.94
04-04-18,63.22
05-04-18,39.67
06-04-18,88.18
07-04-18,96
08-04-18,90.65
09-04-18,112.64
10-04-18,91.26
11-04-18,106.24
12-04-18,99.65
13-04-18,81.7
14-04-18,100.94
15-04-18,106.91
16-04-18,151.11
17-04-18,154.29
18-04-18,169.68
19-04-18,195.73
20-04-18,228.15
21-04-18,181.83
22-04-18,74.93
23-04-18,96.91
24-04-18,115.73
25-04-18,142.33
26-04-18,162.97
27-04-18,137.48
28-04-18,213.83
29-04-18,192.6
30-04-18,142.82
01-05-18,96.71
02-05-18,104.04
03-05-18,110.22
04-05-18,173.98
05-05-18,154.85
06-05-18,144.97
07-05-18,160.61
08-05-18,149.1
09-05-18,180.88
10-05-18,209.4
11-05-18,168.73
12-05-18,160.82
13-05-18,177.84
14-05-18,240.16
15-05-18,180.05
16-05-18,168.43
17-05-18,135.04
18-05-18,145.4
19-05-18,158.95
20-05-18,121.03
21-05-18,57.63
22-05-18,100.57
23-05-18,137.49
24-05-18,206.16
25-05-18,218.44
26-05-18,165.14
27-05-18,137.19
28-05-18,106.7
29-05-18,72.93
30-05-18,141.9
31-05-18,205.37
01-06-18,189.42
02-06-18,261.41
03-06-18,221.96
04-06-18,162.33
05-06-18,225.8
06-06-18,232.51
07-06-18,191.24
08-06-18,141.54
09-06-18,121.14
10-06-18,125.91
11-06-18,159.82
12-06-18,196.73
13-06-18,121.84
14-06-18,179.44
15-06-18,188.51
16-06-18,197.05
17-06-18,173.82
18-06-18,204.92
19-06-18,167.79
20-06-18,147.27
21-06-18,221.01
22-06-18,186.66
23-06-18,272.16
24-06-18,246.23
25-06-18,197.25
26-06-18,210.57
27-06-18,169.31
28-06-18,117
29-06-18,158.99
30-06-18,239.74
01-07-18,180.87
02-07-18,163.37
03-07-18,176.82
04-07-18,226.52
05-07-18,221.02
06-07-18,227.17
07-07-18,164.97
08-07-18,160.68
09-07-18,133.53
10-07-18,98.01
11-07-18,84.96
12-07-18,80.65
13-07-18,95.85
14-07-18,154.97
15-07-18,162.17
16-07-18,129.53
17-07-18,57.57
18-07-18,118.07
19-07-18,118.79
20-07-18,157.53
21-07-18,187.56
22-07-18,134.46
23-07-18,78.18
24-07-18,75.57
25-07-18,100.69
26-07-18,142.27
27-07-18,140.26
28-07-18,177.31
29-07-18,188.28
30-07-18,184.95
31-07-18,208.72
01-08-18,206.81
02-08-18,194.24
03-08-18,188.23
04-08-18,220.16
05-08-18,167.11
06-08-18,87.69
07-08-18,134.78
08-08-18,105
09-08-18,138.62
10-08-18,194.03
11-08-18,142.44
12-08-18,104.32
13-08-18,123.31
14-08-18,106.48
15-08-18,90.11
16-08-18,127.51
17-08-18,195.27
18-08-18,157.39
19-08-18,74.02
20-08-18,129.01
21-08-18,99.49
22-08-18,76.56
23-08-18,123.77
24-08-18,103.04
25-08-18,185.7
26-08-18,187.7
27-08-18,189.62
28-08-18,157.32
29-08-18,114.83
30-08-18,80.29
31-08-18,139.58
01-09-18,131.78
02-09-18,105.91
03-09-18,83.69
04-09-18,81.52
05-09-18,106.95
06-09-18,82.43
07-09-18,65.3
08-09-18,77.62
09-09-18,120.22
10-09-18,122.79
11-09-18,127.8
12-09-18,149.45
13-09-18,155.79
14-09-18,150.47
15-09-18,103.52
16-09-18,78.5
17-09-18,64.59
18-09-18,53.3
19-09-18,41.2
20-09-18,108.12
21-09-18,81.36
22-09-18,66.28
23-09-18,57.09
24-09-18,67.32
25-09-18,86.27
26-09-18,89.54
27-09-18,62.31
28-09-18,77.69
29-09-18,60.91
30-09-18,52.97
01-10-18,75.09
02-10-18,77.07
03-10-18,75.99
04-10-18,121.09
05-10-18,120.11
06-10-18,78.29
07-10-18,63.66
08-10-18,67.17
09-10-18,47.97
10-10-18,48.49
11-10-18,56.65
12-10-18,66.73
13-10-18,84.33
14-10-18,99.18
15-10-18,45.08
16-10-18,66.6
17-10-18,58.42
18-10-18,59.82
19-10-18,73.96
20-10-18,76.96
21-10-18,48.34
22-10-18,70.6
23-10-18,55.77
24-10-18,38.62
25-10-18,24.55
26-10-18,58.02
27-10-18,56.66
28-10-18,74.04
29-10-18,65.14
30-10-18,67.62
